id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,urls/0,replies_count,retweets_count,likes_count,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,retweet_date,translate,trans_src,trans_dest,reply_to/0/screen_name,reply_to/0/name,reply_to/0/id,hashtags/0,hashtags/1,hashtags/2,hashtags/3,hashtags/4,hashtags/5,hashtags/6,hashtags/7,hashtags/8,hashtags/9,hashtags/10,hashtags/11,mentions/0/screen_name,mentions/0/name,mentions/0/id,mentions/1/screen_name,mentions/1/name,mentions/1/id,reply_to/1/screen_name,reply_to/1/name,reply_to/1/id,reply_to/2/screen_name,reply_to/2/name,reply_to/2/id,reply_to/3/screen_name,reply_to/3/name,reply_to/3/id,photos/0,photos/1,photos/2,reply_to/4/screen_name,reply_to/4/name,reply_to/4/id,reply_to/5/screen_name,reply_to/5/name,reply_to/5/id,hashtags/12,hashtags/13,hashtags/14,hashtags/15,hashtags/16,urls/1,mentions/2/screen_name,mentions/2/name,mentions/2/id,mentions/3/screen_name,mentions/3/name,mentions/3/id
1312689899351363600,1312685219321765891,2020-10-04 16:43:55 SE Asia Standard Time,2020-10-04,16:43:55,+0700,12450932,alandakariza,Get your vaccine 💉,,@yeyenniish Sempet buka pas baru PSBB transisi. Aku harusnya April tapi diundur terus sampai akhirnya jadi awal Juni.,in,,1,0,0,https://twitter.com/alandakariza/status/1312689899351363589,false,,0,,,,,,,,,,,,yeyenniish,Yeyen Yenuarizki,1228192033853988865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1312632131340787700,1312607847948062722,2020-10-04 12:54:22 SE Asia Standard Time,2020-10-04,12:54:22,+0700,1356653520,riefsinggih,arief p singgih,,@y_wijayanto Aku sudah 6 bulan nggak keluar rumah....baru kemaren ke Jakarta.... itu pun harus keluar sebelum 14 September takut kejebak New PSBB Total...😂😂😂 Weleh Weleh.... ternyata eh ternyata....Ndak ono bedhane ambek Transisi....😂😂😂 Wes angel....angel....angel..,in,,1,0,0,https://twitter.com/riefsinggih/status/1312632131340787712,false,,0,,,,,,,,,,,,y_wijayanto,widi wijayanto,2199107286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1312614907024556000,1312601727296659456,2020-10-04 11:45:55 SE Asia Standard Time,2020-10-04,11:45:55,+0700,729455396738322400,raanoo_____,Monsieur 🇮🇩,,"@urdadsnobodies tunggu psbb transisi apa susanya si anjg, kek mati aja org org itu klo ga nongkrong",in,,0,0,0,https://twitter.com/raanoo_____/status/1312614907024556032,false,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1312573141214883800,1312571731677114368,2020-10-04 08:59:57 SE Asia Standard Time,2020-10-04,08:59:57,+0700,946634228967489500,afagvrl,sha,,@diyantimar Waktu psbb transisi dibuka tu tp cuma 1000 pengunjung dan harus download apps apa gt. Kyanya sekarang iya deh closed,in,,1,0,0,https://twitter.com/afagvrl/status/1312573141214883840,false,,0,,,,,,,,,,,,diyantimar,iyaaaann😾,1302605188373442560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1312498817384603600,1312498817384603649,2020-10-04 04:04:37 SE Asia Standard Time,2020-10-04,04:04:37,+0700,2917064060,lenterakris,LenteraKristiani.com,,Pergub Baru Anies: Motor Pribadi Kena Ganjil Genap Saat PSBB Transisi  https://t.co/lK5AKaZ2H3,in,https://ahbnews.com/pergub-baru-anies-motor-pribadi-kena-ganjil-genap-saat-psbb-transisi/?utm_source=ReviveOldPost&utm_medium=social&utm_campaign=ReviveOldPost,0,0,0,https://twitter.com/LenteraKris/status/1312498817384603649,false,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1312405251987660800,1312405251987660802,2020-10-03 21:52:50 SE Asia Standard Time,2020-10-03,21:52:50,+0700,147580468,perrykusumah,₱€®®¥,,"PSBB...Transisi...PSBB..., tarik...ulur...tarik..., kayak ngadu layangan...Tarik2 betot sekalian..jangan tanggung2!  Wuhan lockdown 2 bulan sekarang udah new normal! 😷",in,,0,0,0,https://twitter.com/perrykusumah/status/1312405251987660802,false,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1312306167360577500,1312306167360577536,2020-10-03 15:19:06 SE Asia Standard Time,2020-10-03,15:19:06,+0700,58722068,ditto_p,Ditto Priyawardhana,,"PSBB, PSBB transisi, PSBB ketat, AKB, ATHB 🤣🤣🤣🤣",in,,0,0,0,https://twitter.com/ditto_p/status/1312306167360577536,false,https://twitter.com/kompascom/status/1312303256773689344,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1312296392543666200,1312296392543666176,2020-10-03 14:40:15 SE Asia Standard Time,2020-10-03,14:40:15,+0700,2917064060,lenterakris,LenteraKristiani.com,,Pergub Baru Anies: Motor Pribadi Kena Ganjil Genap Saat PSBB Transisi  https://t.co/lK5AKbgE5D,in,https://ahbnews.com/pergub-baru-anies-motor-pribadi-kena-ganjil-genap-saat-psbb-transisi/?utm_source=ReviveOldPost&utm_medium=social&utm_campaign=ReviveOldPost,0,0,0,https://twitter.com/LenteraKris/status/1312296392543666176,false,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1312264261654044700,1312264261654044672,2020-10-03 12:32:35 SE Asia Standard Time,2020-10-03,12:32:35,+0700,1086650434251411500,richietan13,Richie Tan,,Proses ganti kulit pada hewan  https://t.co/ti3oeuXkxu #psbb #covid19 #corona #jakarta #pemerintah #psbbnewnormal #psbbtotal #sanksisosial #psbbtransisi #pelanggarpsbb #masker #hatihati #pelanggarpsbb #tidakpakaimasker #bersihkankali #aturanpsbbterbaru #sanksipsbb,in,https://youtu.be/hGo586jzNic,0,0,0,https://twitter.com/RichieTan13/status/1312264261654044672,false,,0,,,,,,,,,,,,,,,psbb,covid19,corona,jakarta,pemerintah,psbbnewnormal,psbbtotal,sanksisosial,psbbtransisi,pelanggarpsbb,masker,hatihati,,,,,,,,,,,,,,,,,,,,,,,,,pelanggarpsbb,tidakpakaimasker,bersihkankali,aturanpsbbterbaru,sanksipsbb,,,,,,,
1312229772932472800,1312229772932472832,2020-10-03 10:15:32 SE Asia Standard Time,2020-10-03,10:15:32,+0700,973230634893103100,economiczone_id,Economic Zone,,"100 Hari PSBB Transisi: Naik Hingga 4,5 Kali Lipat, Teknologi Nirsentuh Jadi Pilihan Aman: Usaha pemulihan ekonomi dan perkembangan inovasi digital untuk membantu para UMKM bertahan melewati masa pandemi Covid-19 ini terus diberikan baik oleh pemerintah…  https://t.co/3QSYZCu3ga",in,http://dlvr.it/Rhrj8w,0,0,0,https://twitter.com/economiczone_id/status/1312229772932472832,false,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1312150468458553300,1312150468458553346,2020-10-03 05:00:24 SE Asia Standard Time,2020-10-03,05:00:24,+0700,2917064060,lenterakris,LenteraKristiani.com,,Pergub Baru Anies: Motor Pribadi Kena Ganjil Genap Saat PSBB Transisi  https://t.co/lK5AKaZ2H3,in,https://ahbnews.com/pergub-baru-anies-motor-pribadi-kena-ganjil-genap-saat-psbb-transisi/?utm_source=ReviveOldPost&utm_medium=social&utm_campaign=ReviveOldPost,0,0,0,https://twitter.com/LenteraKris/status/1312150468458553346,false,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1312093431687270400,1312093431687270407,2020-10-03 01:13:46 SE Asia Standard Time,2020-10-03,01:13:46,+0700,2917064060,lenterakris,LenteraKristiani.com,,Pergub Baru Anies: Motor Pribadi Kena Ganjil Genap Saat PSBB Transisi  https://t.co/lK5AKbgE5D,in,https://ahbnews.com/pergub-baru-anies-motor-pribadi-kena-ganjil-genap-saat-psbb-transisi/?utm_source=ReviveOldPost&utm_medium=social&utm_campaign=ReviveOldPost,0,0,0,https://twitter.com/LenteraKris/status/1312093431687270407,false,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1312073027106955300,1311931703049428994,2020-10-02 23:52:41 SE Asia Standard Time,2020-10-02,23:52:41,+0700,82167809,ayahhasann,...,,@el_kaezzar @callmeleraa @detikcom @dewanpers @AJIIndonesia Di saat PSBB pertama dan PSBB transisi awal Jakarta kayanya lumayan sukses nahan laju covid-19. Padahal PSBB itu bukan lockdown tapi Jakarta sepi yg artinya warga nerima gerak dibatasi. Tapi mgkn krn ga jelas endingnya dan warga butuh makan akhirnya jadi naik lagi kaya skrg.,in,,1,0,0,https://twitter.com/ayahhasann/status/1312073027106955264,false,,0,,,,,,,,,,,,el_kaezzar,Aldie,709914044,,,,,,,,,,,,,,,,,,,callmeleraa,ראביל רזקי,1120212391566856192,detikcom,detikcom,69183155,dewanpers,Dewan Pers,256912313,,,,AJIIndonesia,AJI Indonesia,289782151,,,,,,,,,,,,,,,
1312067442084962300,1312067442084962304,2020-10-02 23:30:29 SE Asia Standard Time,2020-10-02,23:30:29,+0700,991760263228477400,drnewstwit,drn,,"Berbagi kabar baik mengenai COVID 19:  Pasien rawat inap di Jakarta yg menderita COVID-19 sempat mencapai hampir 5.000 orang pada saat PSBB Transisi.  Terjadi penurunan Pasien rawat inap di Jakarta yg menderita COVID-19, jadi hampir 2.000 orang.  Semoga Pandemi segera berakhir.  https://t.co/Q7MHkuskz0",in,,2,3,12,https://twitter.com/drnewstwit/status/1312067442084962304,false,,1,https://pbs.twimg.com/media/EjVmYVfVkAErTGG.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbs.twimg.com/media/EjVmYVfVkAErTGG.jpg,,,,,,,,,,,,,,,,,,,,
1312013163294941200,1312011421220139008,2020-10-02 19:54:48 SE Asia Standard Time,2020-10-02,19:54:48,+0700,3129786378,kejo_online,Jasa ojek langganan orang 💉💉,,"@joki_berbakat Prakerja udah dari sebelum pandemi dipersiapkan.  Sedangkan yang tadi Lo bilang itu udah dijawab sama Pak @prastow dananya baru tersedia di pertengahan bulan Juni, yang sudah masuk PSBB transisi.",in,,2,0,0,https://twitter.com/kejO_Online/status/1312013163294941184,false,,0,,,,,,,,,,,,joki_berbakat,NiDaMi_,900033730361688064,,,,,,,,,,,,,prastow,prastowo yustinus,88581196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1312008712496668700,1312008712496668678,2020-10-02 19:37:07 SE Asia Standard Time,2020-10-02,19:37:07,+0700,58880688,pikiran_rakyat,Pikiran Rakyat,,"Data Ini Muncul, 1.623 WNA Tiongkok Masuk Jakarta saat PSBB Transisi Agustus 2020  https://t.co/zTCAX0hTD0",in,http://dlvr.it/RhpXNN,0,2,1,https://twitter.com/pikiran_rakyat/status/1312008712496668678,false,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1312001351073902600,1312001351073902593,2020-10-02 19:07:52 SE Asia Standard Time,2020-10-02,19:07:52,+0700,408258254,vitrosss,Vita Rossanti,,"Year 2020 BC (Before Corona)  Tahun yang hanya memiliki 2 bulan, yaitu Januari dan Februari. Sisanya PSBB, PSBB transisi dan PSBB lagi.  Stay safe, stay sane!  https://t.co/dTF57d7xQe",in,https://www.instagram.com/p/CF1y_-Sj7Bz/?igshid=1e3g3g4z2o7h7,0,0,0,https://twitter.com/vitrosss/status/1312001351073902593,false,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1311995145835835400,1311953327546986496,2020-10-02 18:43:13 SE Asia Standard Time,2020-10-02,18:43:13,+0700,4543162348,saptasahasrani,Rian Nugraha,,"@ellameilia @BNPB_Indonesia Coba perhatikan, sama persis tidak PSBB kali ini dengan PSBB awal dulu? PSBB yang sekarang ini tetap lebih longgar, walaupun lebih ketat dibandingkan PSBB transisi. Perlu dievaluasi &amp; segera modifikasi supaya lebih efektif. Jika 3 minggu tanpa aksi perubahan akan percuma nantinya",in,,1,0,0,https://twitter.com/SaptaSahasrani/status/1311995145835835393,false,,0,,,,,,,,,,,,ellameilia,Ella Meilia,134315121,,,,,,,,,,,,,,,,,,,BNPB_Indonesia,BNPB Indonesia,346303384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1311983195450089500,1311983195450089472,2020-10-02 17:55:43 SE Asia Standard Time,2020-10-02,17:55:43,+0700,86658493,danang_soegi,Danang Sugi Atmojo,,"PSBB,PSBB transisi, minilockdown....nanti juga sampe ke LOCKDOWN!",in,,0,0,0,https://twitter.com/danang_soegi/status/1311983195450089472,false,https://twitter.com/CNNIndonesia/status/1311772998215495681,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
