id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,urls/0,replies_count,retweets_count,likes_count,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,retweet_date,translate,trans_src,trans_dest,photos/0,hashtags/0,hashtags/1,photos/1,photos/2,photos/3,hashtags/2,hashtags/3,hashtags/4,reply_to/0/screen_name,reply_to/0/name,reply_to/0/id,hashtags/5,mentions/0/screen_name,mentions/0/name,mentions/0/id,mentions/1/screen_name,mentions/1/name,mentions/1/id,mentions/2/screen_name,mentions/2/name,mentions/2/id,mentions/3/screen_name,mentions/3/name,mentions/3/id,mentions/4/screen_name,mentions/4/name,mentions/4/id,mentions/5/screen_name,mentions/5/name,mentions/5/id,mentions/6/screen_name,mentions/6/name,mentions/6/id,mentions/7/screen_name,mentions/7/name,mentions/7/id,mentions/8/screen_name,mentions/8/name,mentions/8/id,reply_to/1/screen_name,reply_to/1/name,reply_to/1/id,reply_to/2/screen_name,reply_to/2/name,reply_to/2/id,reply_to/3/screen_name,reply_to/3/name,reply_to/3/id,reply_to/4/screen_name,reply_to/4/name,reply_to/4/id,reply_to/5/screen_name,reply_to/5/name,reply_to/5/id,reply_to/6/screen_name,reply_to/6/name,reply_to/6/id,reply_to/7/screen_name,reply_to/7/name,reply_to/7/id,reply_to/8/screen_name,reply_to/8/name,reply_to/8/id,reply_to/9/screen_name,reply_to/9/name,reply_to/9/id,reply_to/10/screen_name,reply_to/10/name,reply_to/10/id,hashtags/6,urls/1,hashtags/7
1363937866317881300,1363794642706178048,2021-02-23 02:45:02 SE Asia Standard Time,2021-02-23,02:45:02,+0700,1354263414118387700,andrewidianto16,Andre Widianto,,"@AliaAulia17 bener tuh, sebelum PPKM mikro kan nyampai 79%, sekarang tinggal 46%",in,,0,0,0,https://twitter.com/AndreWidianto16/status/1363937866317881346,false,,0,,,,,,,,,,,,,,,,,,,,,AliaAulia17,Alia Aulia,1345988126691393538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1363937187662762000,1363937187662761985,2021-02-23 02:42:20 SE Asia Standard Time,2021-02-23,02:42:20,+0700,927783842349383700,medianasional1,Media Nasional,,"PPKM Mikro, Petugas Gabungan Gelar Operasi Yustisi dan Bagikan Masker Gratis ke Warga  https://t.co/VEog4KMFkh",in,http://www.medianasional.id/ppkm-mikro-petugas-gabungan-gelar-operasi-yustisi-dan-bagikan-masker-gratis-ke-warga/,0,0,0,https://twitter.com/MediaNasional1/status/1363937187662761985,false,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1363935979006922800,1363935979006922754,2021-02-23 02:37:32 SE Asia Standard Time,2021-02-23,02:37:32,+0700,1344122294956740600,killa_ayu,Killa Ayu,,PPKM mikro akan berlanjut hingga pekan pertama Maret sesuai Inmendagri,in,,0,0,0,https://twitter.com/killa_ayu/status/1363935979006922754,false,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1363933356635938800,1363933356635938825,2021-02-23 02:27:07 SE Asia Standard Time,2021-02-23,02:27:07,+0700,56891990,ikhwan2a,Ikhwan Nur,,"Ridwan Kamil Sebut PPKM Mikro Bisa Kendalikan Kasus Corona di Jawa Barat – Ridwan Kamil mengatakan, kasus penyebaran Covid-19 di wilayahnya relatif terkendali deng...  https://t.co/4jaZNPTdCr  https://t.co/HbINH2oYqY",in,https://nasional.tempo.co/read/1435403/ridwan-kamil-sebut-ppkm-mikro-bisa-kendalikan-kasus-corona-di-jawa-barat,0,0,0,https://twitter.com/ikhwan2a/status/1363933356635938825,false,,1,https://pbs.twimg.com/media/Eu2qKPiXYAE6RTi.jpg,,,,,,,,,,,https://pbs.twimg.com/media/Eu2qKPiXYAE6RTi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1363930774613811200,1363930774613811205,2021-02-23 02:16:51 SE Asia Standard Time,2021-02-23,02:16:51,+0700,1307584917723775000,nusantaralensa,Lensa Nusantara,,Kapolda Babel Tinjau Penerapan PPKM Mikro  https://t.co/bIkW22zPBh,in,https://lensanusantara.co.id/2021/02/23/kapolda-babel-tinjau-penerapan-ppkm-mikro/,0,0,0,https://twitter.com/NusantaraLensa/status/1363930774613811205,false,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1363929588091342800,1363929588091342848,2021-02-23 02:12:09 SE Asia Standard Time,2021-02-23,02:12:09,+0700,1068506039195070500,bantenpena,Pena Banten,,Kapolsek Teluknaga Menghadiri Giat Sosialisasi PPKM Berbasis Mikro  https://t.co/mrCIKZN9IW,in,https://penabanten.com/kapolsek-teluknaga-menghadiri-giat-sosialisasi-ppkm-berbasis-mikro/,0,0,0,https://twitter.com/BantenPena/status/1363929588091342848,false,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1363918969829089300,1363794481766522882,2021-02-23 01:29:57 SE Asia Standard Time,2021-02-23,01:29:57,+0700,1353959915539243000,silsilafebrian1,Silsila Febrianti,,@DaniaPutrrr Nyatanya setelah PPKM mikro tahap awal ini udah ngga ada,in,,0,0,0,https://twitter.com/SilsilaFebrian1/status/1363918969829089282,false,,0,,,,,,,,,,,,,,,,,,,,,DaniaPutrrr,Dania Putri,1345983987215319040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1363918893895458800,1363918893895458821,2021-02-23 01:29:39 SE Asia Standard Time,2021-02-23,01:29:39,+0700,712716402,meb_awakulo,M.E.B Awakulo,,"PPKM mikro kabarnya di perpanjang, fix belum nemuin istilah lain ini mah 🙃🙃🙃",in,,0,0,0,https://twitter.com/meb_awakulo/status/1363918893895458821,false,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1363918521990717400,1363794481766522882,2021-02-23 01:28:10 SE Asia Standard Time,2021-02-23,01:28:10,+0700,1347050784190390300,mirantippst,Miranti Puspita,,"@DaniaPutrrr keren banget si, kebiijakan PPKM mikro ini gak kaleng-kaleng loh",in,,0,0,0,https://twitter.com/Mirantippst/status/1363918521990717441,false,,0,,,,,,,,,,,,,,,,,,,,,DaniaPutrrr,Dania Putri,1345983987215319040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1363918504777441300,1363918504777441285,2021-02-23 01:28:06 SE Asia Standard Time,2021-02-23,01:28:06,+0700,69183155,detikcom,detikcom,,Pemerintah Kota Cimahi memutuskan untuk memperpanjang PPKM skala mikro hingga 8 Maret 2021. #Cimahi  https://t.co/EWt48ZT2rc,in,https://news.detik.com/berita-jawa-barat/d-5400452/pemkot-cimahi-perpanjang-ppkm-mikro-hingga-8-maret-2021?utm_content=detikcom&utm_term=echobox&utm_medium=oa&utm_campaign=detikcomsocmed&utm_source=Twitter#Echobox=1613981689,1,3,7,https://twitter.com/detikcom/status/1363918504777441285,false,,0,,,,,,,,,,,,,cimahi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
