id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,replies_count,retweets_count,likes_count,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to/0/screen_name,reply_to/0/name,reply_to/0/id,retweet_date,translate,trans_src,trans_dest,hashtags/0,mentions/0/screen_name,mentions/0/name,mentions/0/id,urls/0,photos/0,reply_to/1/screen_name,reply_to/1/name,reply_to/1/id,hashtags/1,mentions/1/screen_name,mentions/1/name,mentions/1/id,mentions/2/screen_name,mentions/2/name,mentions/2/id,mentions/3/screen_name,mentions/3/name,mentions/3/id,mentions/4/screen_name,mentions/4/name,mentions/4/id,mentions/5/screen_name,mentions/5/name,mentions/5/id,mentions/6/screen_name,mentions/6/name,mentions/6/id,mentions/7/screen_name,mentions/7/name,mentions/7/id,urls/1,photos/1,hashtags/2,hashtags/3,hashtags/4,hashtags/5,reply_to/2/screen_name,reply_to/2/name,reply_to/2/id,reply_to/3/screen_name,reply_to/3/name,reply_to/3/id,reply_to/4/screen_name,reply_to/4/name,reply_to/4/id
1415965923454771200,1415965923454771205,2021-07-16 16:25:58 SE Asia Standard Time,2021-07-16,16:25:58,+0700,621693224,ziahlovaa,Dina Adhani Fauziah,,"Kerja, kerja, kerja Gk kerja, gaada duit Gaada duit, gk gajian  -mybos2021  #PPKM #WFH",in,0,0,0,https://twitter.com/ziahlovaa/status/1415965923454771205,false,,0,,,,,,,,,,,,,,,ppkm,,,,,,,,,wfh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1415965921324126200,1415965921324126209,2021-07-16 16:25:57 SE Asia Standard Time,2021-07-16,16:25:57,+0700,1260472495100002300,jokosudarso3,jokosudarso,,#VaksinPerkuatImunitas PPKM Cegah Penyebaran,in,0,0,0,https://twitter.com/jokosudarso3/status/1415965921324126209,false,https://twitter.com/Martin11725513/status/1415942401017794566,0,,,,,,,,,,,,,,,vaksinperkuatimunitas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1415965904639197200,1415965904639197189,2021-07-16 16:25:53 SE Asia Standard Time,2021-07-16,16:25:53,+0700,1386346349424124000,monti83715719,NgedemPikir 🌴,,Selama ppkm ni kalian sudah jual pa ja buat kebutuhan sehari2.,in,0,0,0,https://twitter.com/monti83715719/status/1415965904639197189,false,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1415965901556379600,1415914436380946437,2021-07-16 16:25:52 SE Asia Standard Time,2021-07-16,16:25:52,+0700,395275124,suhar11,Harso Subekti,,@poignant_dreams Koq PPKM masih bisa travelling? 🤔🤔...,in,0,0,0,https://twitter.com/suhar11/status/1415965901556379648,false,,0,,,,,,,,poignant_dreams,naura hakim,1382187934539943940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1415965895881416700,1415965895881416706,2021-07-16 16:25:51 SE Asia Standard Time,2021-07-16,16:25:51,+0700,1383415284405457000,lampungvisual6,Lampungvisual,,"Puan mengingatkan, PPKM Darurat harus benar-benar digunakan sebagai momentum mengerem laju kasus Covid-19 dan mencegah sebanyak mungkin kematian karena wabah. |  https://t.co/mgsOb6riqn  https://t.co/CgPJuJZ9ac",in,0,0,0,https://twitter.com/Lampungvisual6/status/1415965895881416706,false,,0,,,,,,,,,,,,,,,,,,,http://lampungvisual.com,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.lampungvisual.com/imbangi-solidaritas-rakyat-buktikan-ppkm-darurat-mampu-tekan-laju-penularan-covid-19/,,,,,,,,,,,,,,
1415965876835082200,1415965876835082240,2021-07-16 16:25:47 SE Asia Standard Time,2021-07-16,16:25:47,+0700,1260472495100002300,jokosudarso3,jokosudarso,,#VaksinPerkuatImunitas PPKM Cegah Penyebaran,in,0,0,0,https://twitter.com/jokosudarso3/status/1415965876835082240,false,https://twitter.com/Martin11725513/status/1415942480139145218,0,,,,,,,,,,,,,,,vaksinperkuatimunitas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1415965859449692200,1415675220321390604,2021-07-16 16:25:42 SE Asia Standard Time,2021-07-16,16:25:42,+0700,893843322501857300,saidbisri,Name cannot be blank,,"@mohmahfudmd Iya karena gaji bapak mengalir terus mau PPKM kek mau Lockdown kek, lah kita2 yang tempat usahanya ditutup gimana? Tempat usaha ditutup makan harus setiap hari bayar kontrakan jalan terus tapi kami tidak bisa bekerja..",in,0,0,0,https://twitter.com/SaidBisri/status/1415965859449692165,false,,0,,,,,,,,mohmahfudmd,Mahfud MD,282006208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1415965850859806700,1415965850859806720,2021-07-16 16:25:40 SE Asia Standard Time,2021-07-16,16:25:40,+0700,1260472495100002300,jokosudarso3,jokosudarso,,#VaksinPerkuatImunitas PPKM Cegah Penyebaran,in,0,0,0,https://twitter.com/jokosudarso3/status/1415965850859806720,false,https://twitter.com/Martin11725513/status/1415942517992804352,0,,,,,,,,,,,,,,,vaksinperkuatimunitas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1415965837723271200,1415823549290356738,2021-07-16 16:25:37 SE Asia Standard Time,2021-07-16,16:25:37,+0700,89893826,wafaplayground,Wafa,,@soeji__ @Kupunyaakun1 PPKM Darurat Max Pro S,in,0,0,0,https://twitter.com/wafaplayground/status/1415965837723271171,false,,0,,,,,,,,soeji__,Jimmy,389205240,,,,,,,,,,,Kupunyaakun1,nizar_sh,1100292295125958657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1415965813287178200,1415965813287178243,2021-07-16 16:25:31 SE Asia Standard Time,2021-07-16,16:25:31,+0700,1260472495100002300,jokosudarso3,jokosudarso,,#VaksinPerkuatImunitas PPKM Cegah Penyebaran,in,0,0,0,https://twitter.com/jokosudarso3/status/1415965813287178243,false,https://twitter.com/bogor_caringin/status/1415942618677055491,0,,,,,,,,,,,,,,,vaksinperkuatimunitas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
